Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 63.12      0.77     0.77   869998     0.00     0.00  try_swap
 13.93      0.94     0.17 25424969     0.00     0.00  comp_td_point_to_point_delay
  6.97      1.03     0.09  3008047     0.00     0.00  update_bb
  6.56      1.11     0.08    68548     0.00     0.00  label_wire_muxes
  2.87      1.14     0.04   315200     0.00     0.00  get_bb_from_scratch
  1.64      1.16     0.02  3022684     0.00     0.00  my_irand
  0.82      1.17     0.01   377666     0.00     0.00  my_malloc
  0.82      1.18     0.01    55176     0.00     0.00  get_track_to_tracks
  0.82      1.19     0.01      511     0.00     0.00  get_mst_of_net
  0.82      1.20     0.01      477     0.00     0.00  empty_heap
  0.82      1.21     0.01      121     0.00     0.00  load_sblock_pattern_lookup
  0.82      1.22     0.01        1     0.01     0.01  add_rr_graph_C_from_switches
  0.00      1.22     0.00   638248     0.00     0.00  my_frand
  0.00      1.22     0.00   222559     0.00     0.00  get_timing_driven_expected_cost
  0.00      1.22     0.00   222559     0.00     0.00  node_to_heap
  0.00      1.22     0.00   222082     0.00     0.00  get_rr_cong_cost
  0.00      1.22     0.00   218668     0.00     0.00  insert_in_edge_list
  0.00      1.22     0.00    78880     0.00     0.00  seg_index_of_cblock
  0.00      1.22     0.00    65868     0.00     0.00  get_unidir_track_to_chan_seg
  0.00      1.22     0.00    65868     0.00     0.00  seg_index_of_sblock
  0.00      1.22     0.00    29040     0.00     0.00  get_seg_end
  0.00      1.22     0.00    29040     0.00     0.00  get_seg_start
  0.00      1.22     0.00    29040     0.00     0.00  is_cbox
  0.00      1.22     0.00    26562     0.00     0.00  get_rr_node_index
  0.00      1.22     0.00    22465     0.00     0.00  free_heap_data
  0.00      1.22     0.00    22465     0.00     0.00  get_heap_head
  0.00      1.22     0.00    21912     0.00     0.00  get_simple_switch_block_track
  0.00      1.22     0.00    20292     0.00     0.00  check_node
  0.00      1.22     0.00    19536     0.00     0.00  add_to_mod_list
  0.00      1.22     0.00    17092     0.00     0.00  alloc_and_load_edges_and_switches
  0.00      1.22     0.00    15972     0.00     0.00  get_track_to_ipins
  0.00      1.22     0.00     6904     0.00     0.00  my_chunk_malloc
  0.00      1.22     0.00     5604     0.00     0.00  insert_in_int_list
  0.00      1.22     0.00     4966     0.00     0.00  is_opin
  0.00      1.22     0.00     3774     0.00     0.00  my_atoi
  0.00      1.22     0.00     3302     0.00     0.00  FreeTokens
  0.00      1.22     0.00     3287     0.00     0.00  CountTokens
  0.00      1.22     0.00     2943     0.00     0.00  ReadLineTokens
  0.00      1.22     0.00     1359     0.00     0.00  my_strdup
  0.00      1.22     0.00     1120     0.00     0.00  get_unidir_opin_connections
  0.00      1.22     0.00      954     0.00     0.00  pathfinder_update_one_cost
  0.00      1.22     0.00      649     0.00     0.00  insert_in_hash_table
  0.00      1.22     0.00      551     0.00     0.00  ezxml_decode
